Datum,TN,TX,RR,TX transformed,TN transformed
2019-05-12,6.0,16.9,0.0,-0.013921338518608233,-0.013921338518608233
2019-05-13,3.9,15.8,0.0,-0.11613964991265345,-0.11613964991265345
2019-05-14,4.8,14.0,0.0,-0.28497571085403794,-0.28497571085403794
2019-05-15,2.7,13.1,3.9,-0.37077955012027436,-0.37077955012027436
2019-05-16,6.1,11.4,7.9,-0.5368978640757658,-0.5368978640757658
2019-05-17,6.1,20.2,0.0,0.29445257901899163,0.29445257901899163
2019-05-18,9.3,24.4,0.0,0.710599630511171,0.710599630511171
2019-05-19,9.7,25.9,6.4,0.8728406149476303,0.8728406149476303
2019-05-20,12.6,25.5,11.5,0.8285851514550496,0.8285851514550496
2019-05-21,11.3,23.6,1.1,0.6277193752374902,0.6277193752374902
2019-05-22,11.3,15.6,0.7,-0.13477440086411954,-0.13477440086411954
2019-05-23,7.6,19.3,0.0,0.20958048476658891,0.20958048476658891
2019-05-24,7.5,23.2,0.0,0.5870649037737093,0.5870649037737093
2019-05-25,9.5,15.8,0.0,-0.11613964991265345,-0.11613964991265345
2019-05-26,7.1,21.0,0.0,0.3707795501202744,0.3707795501202744
2019-05-27,14.9,21.2,0.1,0.3900207856806905,0.3900207856806905
2019-05-28,9.3,19.0,0.0,0.1814708549136416,0.1814708549136416
2019-05-29,5.9,17.5,0.0,0.041769412876295146,0.041769412876295146
2019-05-30,4.4,23.3,0.0,0.5971831922982014,0.5971831922982014
2019-05-31,12.1,24.2,3.1,0.6896689161836205,0.6896689161836205
2019-06-01,14.0,27.1,0.0,1.0108100852236623,1.0108100852236623
2019-06-02,14.6,31.3,0.0,1.5900735452523087,1.5900735452523087
2019-06-03,15.6,33.2,0.0,1.9432611408837366,1.9432611408837366
2019-06-04,17.2,30.6,0.0,1.4787595887919842,1.4787595887919842
2019-06-05,16.0,33.6,0.0,2.030776369698555,2.030776369698555
2019-06-06,14.5,31.7,5.4,1.6575377072285116,1.6575377072285116
2019-06-07,12.8,25.7,0.1,0.8506146130131972,0.8506146130131972
2019-06-08,10.4,22.6,0.0,0.526945005645874,0.526945005645874
2019-06-09,8.7,25.9,3.4,0.8728406149476303,0.8728406149476303
2019-06-10,14.5,27.2,1.8,1.022703325482785,1.022703325482785
2019-06-11,16.8,29.1,48.0,1.2632342683626632,1.2632342683626632
2019-06-12,16.6,33.0,13.6,1.9015743352352616,1.9015743352352616
2019-06-13,14.7,24.6,0.0,0.7316808445621881,0.7316808445621881
2019-06-14,12.8,29.5,0.0,1.3180861110933573,1.3180861110933573
2019-06-15,17.4,31.5,0.0,1.62342415440884,1.62342415440884
2019-06-16,14.0,21.5,0.0,0.419018074512868,0.419018074512868
2019-06-17,14.4,27.1,0.0,1.0108100852236623,1.0108100852236623
2019-06-18,14.6,29.4,0.0,1.3042115303314097,1.3042115303314097
2019-06-19,16.6,32.1,0.9,1.7282460635057295,1.7282460635057295
2019-06-20,17.1,25.7,1.9,0.8506146130131972,0.8506146130131972
2019-06-21,14.9,24.7,0.0,0.7422798691375897,0.7422798691375897
2019-06-22,14.2,25.7,0.0,0.8506146130131972,0.8506146130131972
2019-06-23,14.0,27.8,0.0,1.0955210960984365,1.0955210960984365
2019-06-24,14.8,29.7,0.0,1.3461743673304656,1.3461743673304656
2019-06-25,17.5,33.5,0.0,2.008345619996106,2.008345619996106
2019-06-26,18.7,36.1,0.0,2.787477334733533,2.787477334733533
2019-06-27,14.6,25.3,0.0,0.8067443582836507,0.8067443582836507
2019-06-28,11.7,23.9,0.0,0.6585416513824693,0.6585416513824693
2019-06-29,12.2,30.3,0.0,1.433361871977876,1.433361871977876
2019-06-30,14.6,37.6,0.0,3.740047740688335,3.740047740688335
2019-07-01,16.7,28.0,0.0,1.1203860882176704,1.1203860882176704
2019-07-02,12.5,21.5,0.0,0.419018074512868,0.419018074512868
2019-07-03,9.8,20.0,0.0,0.2755115368315257,0.2755115368315257
2019-07-04,9.5,22.7,0.0,0.5368978640757657,0.5368978640757657
2019-07-05,13.9,20.8,0.0,0.3516059384354351,0.3516059384354351
2019-07-06,12.9,23.3,7.1,0.5971831922982014,0.5971831922982014
2019-07-07,11.3,18.8,0.0,0.16277142287116544,0.16277142287116544
2019-07-08,11.2,17.6,0.2,0.05105517080028417,0.05105517080028417
2019-07-09,9.8,18.3,0.0,0.1161396499126536,0.1161396499126536
2019-07-10,10.0,22.1,0.0,0.47755083488111844,0.47755083488111844
2019-07-11,9.1,23.6,1.2,0.6277193752374902,0.6277193752374902
2019-07-12,14.9,21.6,0.5,0.4287219702724316,0.4287219702724316
2019-07-13,14.9,26.3,2.5,0.9179154276011571,0.9179154276011571
2019-07-14,14.5,20.2,0.0,0.29445257901899163,0.29445257901899163
2019-07-15,13.0,17.4,0.0,0.03248545514448831,0.03248545514448831
2019-07-16,12.7,20.7,0.0,0.34204328167066805,0.34204328167066805
2019-07-17,11.3,23.2,0.0,0.5870649037737093,0.5870649037737093
2019-07-18,11.6,26.7,0.0,0.9638796946979528,0.9638796946979528
2019-07-19,14.8,24.5,0.0,0.7211210326023515,0.7211210326023515
2019-07-20,13.6,30.8,19.1,1.5097592302437044,1.5097592302437044
2019-07-21,16.1,25.9,0.0,0.8728406149476303,0.8728406149476303
2019-07-22,14.0,24.4,0.0,0.710599630511171,0.710599630511171
2019-07-23,15.9,29.9,0.0,1.3747335387188144,1.3747335387188144
2019-07-24,16.1,32.0,0.0,1.7102426115560658,1.7102426115560658
2019-07-25,17.2,32.9,0.0,1.8812045295799813,1.8812045295799813
2019-07-26,18.8,30.7,0.0,1.4941833231310762,1.4941833231310762
2019-07-27,18.9,28.4,0.0,1.1710849374811003,1.1710849374811003
2019-07-28,17.8,30.7,0.0,1.4941833231310762,1.4941833231310762
2019-07-29,20.3,33.3,1.1,1.9646022820674647,1.9646022820674647
2019-07-30,18.5,26.0,0.0,0.8840298696559332,0.8840298696559332
2019-07-31,15.0,23.3,23.2,0.5971831922982014,0.5971831922982014
2019-08-01,14.2,24.4,0.3,0.710599630511171,0.710599630511171
2019-08-02,13.0,25.3,8.5,0.8067443582836507,0.8067443582836507
2019-08-03,14.4,25.6,0.0,0.8395758142932932,0.8395758142932932
2019-08-04,13.3,23.9,0.0,0.6585416513824693,0.6585416513824693
2019-08-05,12.2,24.3,0.0,0.7001158498760385,0.7001158498760385
2019-08-06,15.5,28.3,1.0,1.1582846201545072,1.1582846201545072
2019-08-07,16.0,25.3,5.5,0.8067443582836507,0.8067443582836507
2019-08-08,13.7,26.1,0.0,0.8952713646500796,0.8952713646500796
2019-08-09,12.2,27.5,0.0,1.0587907944814379,1.0587907944814379
2019-08-10,18.5,28.1,0.0,1.1329370312091847,1.1329370312091847
2019-08-11,14.8,28.6,0.0,1.1969481893889713,1.1969481893889713
2019-08-12,16.1,22.9,0.0,0.5568823010397622,0.5568823010397622
2019-08-13,11.5,22.1,0.0,0.47755083488111844,0.47755083488111844
2019-08-14,10.4,22.0,0.0,0.46774203762967875,0.46774203762967875
2019-08-15,9.7,22.6,0.1,0.526945005645874,0.526945005645874
2019-08-16,12.4,23.2,0.0,0.5870649037737093,0.5870649037737093
2019-08-17,11.9,27.7,0.3,1.0832036633152646,1.0832036633152646
2019-08-18,16.6,26.5,10.4,0.9407817518824506,0.9407817518824506
2019-08-19,12.4,23.8,0.0,0.6482346238791223,0.6482346238791223
2019-08-20,10.7,24.2,0.5,0.6896689161836205,0.6896689161836205
2019-08-21,11.1,23.1,0.0,0.5769757487979036,0.5769757487979036
2019-08-22,9.4,26.3,0.0,0.9179154276011571,0.9179154276011571
2019-08-23,11.3,28.0,0.0,1.1203860882176704,1.1203860882176704
2019-08-24,12.6,29.1,0.0,1.2632342683626632,1.2632342683626632
2019-08-25,18.7,31.2,0.0,1.5736706885754699,1.5736706885754699
2019-08-26,16.8,31.7,1.6,1.6575377072285116,1.6575377072285116
2019-08-27,17.2,31.4,0.0,1.6066562694722228,1.6066562694722228
2019-08-28,17.7,33.4,0.0,1.9862924865009985,1.9862924865009985
2019-08-29,16.3,30.0,0.0,1.3891971207778515,1.3891971207778515
2019-08-30,19.5,29.9,0.0,1.3747335387188144,1.3747335387188144
2019-08-31,18.0,33.4,0.0,1.9862924865009985,1.9862924865009985
2019-09-01,16.2,29.6,0.0,1.3320728069532515,1.3320728069532515
2019-09-02,9.9,21.6,0.0,0.4287219702724316,0.4287219702724316
2019-09-03,8.1,20.9,0.0,0.3611845344447072,0.3611845344447072
2019-09-04,13.0,26.7,0.3,0.9638796946979528,0.9638796946979528
2019-09-05,11.8,21.8,0.0,0.44819005277450574,0.44819005277450574
2019-09-06,7.9,20.5,0.0,0.3229638865964207,0.3229638865964207
2019-09-07,6.4,20.0,0.0,0.2755115368315257,0.2755115368315257
2019-09-08,11.6,20.7,1.7,0.34204328167066805,0.34204328167066805
2019-09-09,11.7,14.8,15.7,-0.20958048476658928,-0.20958048476658928
2019-09-10,8.7,19.5,0.0,0.22836549529536124,0.22836549529536124
2019-09-11,6.3,22.5,0.7,0.5170175940139116,0.5170175940139116
2019-09-12,13.3,22.0,0.0,0.46774203762967875,0.46774203762967875
2019-09-13,9.4,22.3,0.0,0.4972367797040945,0.4972367797040945
2019-09-14,6.9,18.6,0.0,0.14410034397375687,0.14410034397375687
2019-09-15,6.7,23.2,0.2,0.5870649037737093,0.5870649037737093
2019-09-16,12.1,15.8,0.3,-0.11613964991265345,-0.11613964991265345
2019-09-17,8.9,15.3,1.8,-0.16277142287116536,-0.16277142287116536
2019-09-18,7.3,16.3,0.0,-0.06963369175880088,-0.06963369175880088
2019-09-19,5.2,16.0,0.0,-0.09752502013387773,-0.09752502013387773
2019-09-20,3.9,16.4,0.0,-0.06034312990746863,-0.06034312990746863
2019-09-21,5.1,21.2,0.0,0.3900207856806905,0.3900207856806905
2019-09-22,6.6,25.2,0.0,0.795892338851788,0.795892338851788
2019-09-23,7.7,23.0,0.0,0.5669150904170341,0.5669150904170341
2019-09-24,12.2,18.9,0.0,0.17211738661971254,0.17211738661971254
2019-09-25,10.1,16.9,1.7,-0.013921338518608233,-0.013921338518608233
2019-09-26,8.2,20.3,0.1,0.3039425933235612,0.3039425933235612
2019-09-27,10.6,16.7,12.5,-0.03248545514448831,-0.03248545514448831
2019-09-28,10.9,18.6,9.0,0.14410034397375687,0.14410034397375687
2019-09-29,11.2,16.4,8.0,-0.06034312990746863,-0.06034312990746863
2019-09-30,10.2,16.8,3.8,-0.02320289707966387,-0.02320289707966387
2019-10-01,10.0,16.8,14.5,-0.02320289707966387,-0.02320289707966387
2019-10-02,6.5,13.1,1.9,-0.37077955012027436,-0.37077955012027436
2019-10-03,6.1,12.4,0.6,-0.4384457888380237,-0.4384457888380237
2019-10-04,4.1,11.2,14.3,-0.5568823010397621,-0.5568823010397621
2019-10-05,4.1,11.9,0.1,-0.4873822305760514,-0.4873822305760514
2019-10-06,1.5,12.9,0.0,-0.3900207856806909,-0.3900207856806909
2019-10-07,0.1,12.1,0.0,-0.46774203762967903,-0.46774203762967903
2019-10-08,3.6,12.9,2.4,-0.3900207856806909,-0.3900207856806909
2019-10-09,8.7,15.7,2.7,-0.12545430615303496,-0.12545430615303496
2019-10-10,8.6,14.8,1.0,-0.20958048476658928,-0.20958048476658928
